TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
POR,POR @ CHI,06/14/1992,L,240,93,35,78,44.9,2,7,28.6,21,21,100.0,13,25,38,21,11,5,21,24,-4
CHI,CHI vs. POR,06/14/1992,W,240,97,38,73,52.1,6,13,46.2,15,21,71.4,9,22,31,20,8,5,18,19,4
POR,POR vs. CHI,06/12/1992,L,240,106,35,80,43.8,1,7,14.3,35,44,79.5,20,25,45,21,5,3,18,34,-13
CHI,CHI @ POR,06/12/1992,W,240,119,40,73,54.8,2,6,33.3,37,45,82.2,10,24,34,26,6,6,14,33,13
POR,POR vs. CHI,06/10/1992,W,240,93,37,81,45.7,2,9,22.2,17,27,63.0,15,30,45,28,11,6,13,19,5
CHI,CHI @ POR,06/10/1992,L,240,88,35,77,45.5,4,12,33.3,14,20,70.0,7,26,33,18,7,1,16,27,-5
POR,POR vs. CHI,06/07/1992,L,240,84,28,78,35.9,3,11,27.3,25,32,78.1,13,30,43,12,6,2,20,26,-10
CHI,CHI @ POR,06/07/1992,W,240,94,37,78,47.4,1,4,25.0,19,29,65.5,9,33,42,25,9,5,16,26,10
POR,POR @ CHI,06/05/1992,W,265,115,42,84,50.0,1,12,8.3,30,38,78.9,10,32,42,27,7,3,9,26,11
CHI,CHI vs. POR,06/05/1992,L,265,104,41,86,47.7,5,15,33.3,17,26,65.4,10,31,41,34,5,7,15,29,-11
CHI,CHI vs. POR,06/03/1992,W,240,122,50,91,54.9,7,15,46.7,15,22,68.2,16,28,44,38,7,7,11,21,33
POR,POR @ CHI,06/03/1992,L,240,89,35,78,44.9,1,6,16.7,18,23,78.3,11,27,38,16,7,4,21,26,-33
CLE,CLE vs. CHI,05/29/1992,L,240,94,36,82,43.9,3,9,33.3,19,25,76.0,15,30,45,31,5,8,14,23,-5
CHI,CHI @ CLE,05/29/1992,W,240,99,38,84,45.2,0,2,0.0,23,25,92.0,13,30,43,17,7,10,12,24,5
UTH,UTH vs. POR,05/28/1992,L,240,97,32,84,38.1,2,10,20.0,31,34,91.2,22,32,54,18,6,3,17,26,-8
POR,POR @ UTH,05/28/1992,W,240,105,39,80,48.8,3,11,27.3,24,31,77.4,10,26,36,24,9,8,12,25,8
CHI,CHI vs. CLE,05/27/1992,W,240,112,43,85,50.6,1,2,50.0,25,35,71.4,16,36,52,20,13,7,9,24,23
CLE,CLE @ CHI,05/27/1992,L,240,89,32,86,37.2,5,14,35.7,20,23,87.0,15,28,43,18,6,2,16,28,-23
POR,POR vs. UTH,05/26/1992,W,265,127,48,84,57.1,5,10,50.0,26,35,74.3,14,27,41,29,5,9,13,23,6
UTH,UTH @ POR,05/26/1992,L,265,121,49,97,50.5,2,7,28.6,21,26,80.8,19,22,41,33,10,2,11,27,-6
CHI,CHI @ CLE,05/25/1992,L,240,85,36,87,41.4,3,8,37.5,10,17,58.8,17,24,41,18,7,3,15,27,-14
CLE,CLE vs. CHI,05/25/1992,W,240,99,32,67,47.8,6,10,60.0,29,36,80.6,7,31,38,25,7,6,14,21,14
