TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHH,CHH vs. ORL,04/21/1996,L,240,100,37,85,43.5,8,17,47.1,18,22,81.8,14,23,37,20,4,4,15,20,-3
ORL,ORL @ CHH,04/21/1996,W,240,103,39,73,53.4,6,13,46.2,19,29,65.5,10,31,41,27,9,4,15,20,3
GOS,GOS @ SAC,04/21/1996,L,240,100,41,84,48.8,3,11,27.3,15,26,57.7,12,28,40,20,9,3,12,19,-7
SAC,SAC vs. GOS,04/21/1996,W,240,107,44,95,46.3,7,14,50.0,12,25,48.0,25,32,57,24,8,7,15,21,7
MIL,MIL @ DET,04/21/1996,L,240,92,38,79,48.1,6,11,54.5,10,19,52.6,8,19,27,15,9,4,7,22,-16
DET,DET vs. MIL,04/21/1996,W,240,108,38,71,53.5,9,16,56.3,23,26,88.5,10,35,45,23,3,6,15,25,16
CLE,CLE @ IND,04/21/1996,L,240,88,36,75,48.0,7,24,29.2,9,12,75.0,10,16,26,24,14,7,12,24,-1
IND,IND vs. CLE,04/21/1996,W,240,89,28,61,45.9,6,7,85.7,27,36,75.0,18,27,45,13,7,2,21,17,1
PHX,PHX @ HOU,04/21/1996,L,240,110,44,96,45.8,4,16,25.0,18,27,66.7,17,34,51,24,7,4,10,19,-8
HOU,HOU vs. PHX,04/21/1996,W,240,118,45,86,52.3,16,30,53.3,12,15,80.0,5,33,38,33,8,9,12,19,8
TOR,TOR vs. PHL,04/21/1996,L,265,105,42,89,47.2,8,18,44.4,13,23,56.5,22,27,49,31,11,10,28,20,-4
PHL,PHL @ TOR,04/21/1996,W,265,109,44,95,46.3,5,16,31.3,16,22,72.7,20,25,45,30,18,12,18,28,4
DAL,DAL @ SAN,04/21/1996,W,240,103,37,94,39.4,8,28,28.6,21,28,75.0,13,43,56,25,6,6,10,23,5
SAN,SAN vs. DAL,04/21/1996,L,240,98,34,90,37.8,5,14,35.7,25,33,75.8,14,42,56,21,5,3,11,23,-5
LAC,LAC vs. VAN,04/21/1996,L,240,101,39,88,44.3,4,19,21.1,19,34,55.9,18,31,49,23,8,5,17,27,-7
VAN,VAN @ LAC,04/21/1996,W,240,108,39,87,44.8,5,14,35.7,25,31,80.6,15,34,49,11,8,3,14,24,7
NYK,NYK @ BOS,04/21/1996,W,240,122,51,80,63.8,3,10,30.0,17,20,85.0,4,38,42,25,5,5,17,21,11
BOS,BOS vs. NYK,04/21/1996,L,240,111,38,89,42.7,15,29,51.7,20,25,80.0,14,23,37,23,12,4,13,21,-11
WAS,WAS vs. CHI,04/21/1996,L,240,93,36,85,42.4,4,13,30.8,17,23,73.9,13,30,43,19,4,9,14,20,-10
CHI,CHI @ WAS,04/21/1996,W,240,103,41,89,46.1,4,13,30.8,17,23,73.9,12,34,46,17,7,4,9,24,10
SEA,SEA @ DEN,04/21/1996,L,240,88,33,80,41.3,4,15,26.7,18,30,60.0,11,26,37,12,10,10,14,28,-11
DEN,DEN vs. SEA,04/21/1996,W,240,99,33,87,37.9,5,16,31.3,28,36,77.8,22,33,55,19,7,11,14,23,11
MIA,MIA vs. ATL,04/21/1996,L,240,92,35,88,39.8,5,21,23.8,17,21,81.0,16,29,45,20,14,10,25,26,-12
ATL,ATL @ MIA,04/21/1996,W,240,104,34,76,44.7,4,10,40.0,32,41,78.0,11,30,41,24,19,11,21,17,12
POR,POR vs. LAL,04/21/1996,L,240,88,34,77,44.2,5,14,35.7,15,23,65.2,15,31,46,26,8,8,22,19,-4
LAL,LAL @ POR,04/21/1996,W,240,92,34,76,44.7,7,15,46.7,17,21,81.0,7,21,28,19,12,2,13,17,4
UTH,UTH vs. SAC,04/20/1996,W,240,104,42,86,48.8,5,12,41.7,15,19,78.9,16,27,43,27,9,3,15,20,12
SAC,SAC @ UTH,04/20/1996,L,240,92,35,72,48.6,6,15,40.0,16,23,69.6,11,20,31,20,10,4,16,18,-12
ATL,ATL vs. NJN,04/20/1996,W,240,121,47,83,56.6,7,20,35.0,20,22,90.9,12,27,39,23,18,5,19,19,22
NJN,NJN @ ATL,04/20/1996,L,240,99,41,82,50.0,7,18,38.9,10,18,55.6,11,22,33,24,11,2,24,21,-22
CLE,CLE vs. DET,04/20/1996,W,240,75,34,74,45.9,4,16,25.0,3,8,37.5,11,21,32,23,7,6,9,17,2
DET,DET @ CLE,04/20/1996,L,240,73,27,56,48.2,5,10,50.0,14,17,82.4,2,30,32,20,4,3,17,17,-2
IND,IND @ CHI,04/20/1996,W,240,100,37,74,50.0,0,2,0.0,26,41,63.4,11,28,39,15,14,3,17,16,1
CHI,CHI vs. IND,04/20/1996,L,240,99,40,90,44.4,11,25,44.0,8,13,61.5,22,26,48,27,10,6,19,31,-1
MIN,MIN @ LAL,04/20/1996,L,240,82,34,93,36.6,3,12,25.0,11,14,78.6,17,31,48,15,6,9,22,20,-24
LAL,LAL vs. MIN,04/20/1996,W,240,106,43,92,46.7,5,24,20.8,15,21,71.4,14,36,50,23,14,2,16,14,24
DAL,DAL @ PHX,04/19/1996,L,240,103,38,95,40.0,9,28,32.1,18,24,75.0,20,29,49,24,8,1,19,19,-20
PHX,PHX vs. DAL,04/19/1996,W,240,123,52,94,55.3,4,9,44.4,15,20,75.0,14,34,48,40,14,5,13,17,20
GOS,GOS vs. POR,04/19/1996,L,240,87,30,89,33.7,7,20,35.0,20,29,69.0,19,16,35,18,13,4,9,26,-8
POR,POR @ GOS,04/19/1996,W,240,95,34,63,54.0,5,15,33.3,22,27,81.5,12,35,47,26,7,2,24,25,8
MIL,MIL vs. MIA,04/19/1996,L,240,100,35,71,49.3,4,13,30.8,26,33,78.8,8,27,35,19,12,2,16,24,-6
MIA,MIA @ MIL,04/19/1996,W,240,106,40,75,53.3,10,23,43.5,16,29,55.2,10,24,34,28,9,2,17,26,6
VAN,VAN @ DEN,04/19/1996,W,240,92,37,76,48.7,6,19,31.6,12,18,66.7,4,30,34,15,18,8,22,21,14
DEN,DEN vs. VAN,04/19/1996,L,240,78,32,91,35.2,1,10,10.0,13,20,65.0,26,33,59,14,13,5,26,17,-14
NYK,NYK vs. CHH,04/19/1996,L,240,108,43,83,51.8,7,22,31.8,15,19,78.9,9,28,37,31,5,3,13,26,-7
CHH,CHH @ NYK,04/19/1996,W,240,115,41,75,54.7,9,20,45.0,24,26,92.3,6,29,35,18,5,0,12,21,7
SEA,SEA vs. MIN,04/19/1996,W,240,94,35,77,45.5,7,22,31.8,17,22,77.3,10,27,37,21,9,4,16,19,8
MIN,MIN @ SEA,04/19/1996,L,240,86,35,71,49.3,6,17,35.3,10,14,71.4,9,28,37,25,6,2,19,27,-8
PHL,PHL vs. ORL,04/19/1996,L,240,92,31,79,39.2,11,28,39.3,19,28,67.9,13,21,34,21,9,1,12,17,-20
ORL,ORL @ PHL,04/19/1996,W,240,112,44,78,56.4,7,13,53.8,17,22,77.3,11,33,44,35,8,3,15,21,20
NJN,NJN vs. BOS,04/19/1996,L,240,106,43,99,43.4,5,19,26.3,15,22,68.2,20,35,55,32,3,14,10,21,-6
BOS,BOS @ NJN,04/19/1996,W,240,112,40,83,48.2,12,18,66.7,20,28,71.4,9,34,43,20,3,10,10,18,6
WAS,WAS @ TOR,04/19/1996,L,240,103,39,86,45.3,7,19,36.8,18,30,60.0,13,27,40,30,10,5,14,26,-4
TOR,TOR vs. WAS,04/19/1996,W,240,107,37,75,49.3,6,13,46.2,27,34,79.4,9,34,43,22,11,7,19,26,4
CLE,CLE vs. NYK,04/18/1996,W,240,92,34,73,46.6,12,23,52.2,12,18,66.7,10,21,31,25,14,9,12,19,15
NYK,NYK @ CLE,04/18/1996,L,240,77,32,68,47.1,5,16,31.3,8,12,66.7,6,26,32,18,8,7,21,18,-15
DEN,DEN @ DAL,04/18/1996,L,240,98,35,93,37.6,2,10,20.0,26,34,76.5,20,31,51,17,12,5,22,21,-34
DAL,DAL vs. DEN,04/18/1996,W,240,132,51,90,56.7,11,21,52.4,19,25,76.0,9,40,49,30,11,7,19,27,34
MIL,MIL @ CHH,04/18/1996,W,240,111,43,74,58.1,6,11,54.5,19,24,79.2,7,27,34,29,6,3,14,19,8
CHH,CHH vs. MIL,04/18/1996,L,240,103,39,80,48.8,8,18,44.4,17,23,73.9,12,24,36,27,7,3,15,20,-8
HOU,HOU vs. LAC,04/18/1996,W,240,115,43,87,49.4,8,24,33.3,21,28,75.0,7,27,34,32,8,3,9,18,8
LAC,LAC @ HOU,04/18/1996,L,240,107,43,88,48.9,9,21,42.9,12,22,54.5,16,31,47,22,7,10,14,22,-8
UTH,UTH @ VAN,04/18/1996,W,240,94,40,82,48.8,3,6,50.0,11,16,68.8,15,30,45,21,10,7,15,15,15
