TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MEM,MEM vs. MIN,04/14/2004,L,240,90,32,78,41.0,2,9,22.2,24,29,82.8,10,18,28,20,12,4,10,21,-17
MIN,MIN @ MEM,04/14/2004,W,240,107,39,72,54.2,7,12,58.3,22,26,84.6,10,32,42,23,8,6,15,24,17
HOU,HOU vs. DAL,04/14/2004,L,240,89,36,79,45.6,9,21,42.9,8,15,53.3,9,41,50,24,6,3,19,24,-3
DAL,DAL @ HOU,04/14/2004,W,240,92,31,76,40.8,7,18,38.9,23,34,67.6,5,35,40,22,13,9,7,17,3
SAC,SAC @ GSW,04/14/2004,L,240,91,36,91,39.6,8,19,42.1,11,12,91.7,15,31,46,23,10,9,12,17,-6
GSW,GSW vs. SAC,04/14/2004,W,240,97,39,90,43.3,8,20,40.0,11,17,64.7,20,37,57,23,7,8,15,13,6
SAS,SAS vs. DEN,04/14/2004,W,240,93,28,66,42.4,1,10,10.0,36,53,67.9,13,45,58,15,12,9,18,23,26
DEN,DEN @ SAS,04/14/2004,L,240,67,27,83,32.5,2,9,22.2,11,18,61.1,14,33,47,11,7,1,18,34,-26
NYK,NYK vs. CLE,04/14/2004,L,240,90,38,79,48.1,4,10,40.0,10,14,71.4,12,30,42,13,7,2,18,16,-10
CLE,CLE @ NYK,04/14/2004,W,240,100,39,80,48.8,4,11,36.4,18,20,90.0,12,28,40,22,12,7,13,12,10
MIL,MIL vs. TOR,04/14/2004,L,240,87,33,86,38.4,2,11,18.2,19,26,73.1,17,31,48,23,4,2,10,14,-2
TOR,TOR @ MIL,04/14/2004,W,240,89,34,74,45.9,10,18,55.6,11,11,100.0,8,33,41,18,3,5,15,20,2
NOH,NOH @ WAS,04/14/2004,W,240,94,37,82,45.1,8,22,36.4,12,20,60.0,16,32,48,24,9,3,16,20,16
WAS,WAS vs. NOH,04/14/2004,L,240,78,27,72,37.5,4,19,21.1,20,28,71.4,9,30,39,13,8,2,15,18,-16
ORL,ORL vs. PHI,04/14/2004,W,240,95,35,78,44.9,3,11,27.3,22,27,81.5,12,33,45,16,9,4,14,16,6
PHI,PHI @ ORL,04/14/2004,L,240,89,38,79,48.1,2,14,14.3,11,21,52.4,8,24,32,23,6,7,10,20,-6
PHX,PHX @ UTA,04/14/2004,W,240,89,34,71,47.9,7,16,43.8,14,23,60.9,11,28,39,18,9,8,22,29,5
UTA,UTA vs. PHX,04/14/2004,L,240,84,32,80,40.0,4,15,26.7,16,27,59.3,16,27,43,20,9,8,20,23,-5
MIA,MIA vs. NJN,04/14/2004,W,240,96,35,70,50.0,5,15,33.3,21,28,75.0,9,29,38,23,11,5,22,19,12
NJN,NJN @ MIA,04/14/2004,L,240,84,30,83,36.1,5,17,29.4,19,27,70.4,18,24,42,19,16,2,20,23,-12
LAC,LAC vs. SEA,04/14/2004,L,240,87,30,71,42.3,3,14,21.4,24,33,72.7,10,27,37,17,5,3,21,18,-31
SEA,SEA @ LAC,04/14/2004,W,240,118,45,83,54.2,9,24,37.5,19,19,100.0,7,27,34,32,12,0,13,22,31
