TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
DET,DET @ SAS,06/23/2005,L,240,74,31,74,41.9,2,14,14.3,10,14,71.4,8,26,34,17,8,6,9,24,-7
SAS,SAS vs. DET,06/23/2005,W,240,81,29,68,42.6,7,11,63.6,16,19,84.2,8,30,38,14,4,7,13,20,7
SAS,SAS vs. DET,06/21/2005,L,240,86,31,75,41.3,8,28,28.6,16,26,61.5,13,30,43,15,3,2,12,18,-9
DET,DET @ SAS,06/21/2005,W,240,95,37,79,46.8,8,17,47.1,13,19,68.4,13,27,40,19,6,8,5,21,9
SAS,SAS @ DET,06/19/2005,W,265,96,38,82,46.3,8,20,40.0,12,21,57.1,19,26,45,20,3,3,17,26,1
DET,DET vs. SAS,06/19/2005,L,265,95,37,84,44.0,2,9,22.2,19,23,82.6,16,26,42,17,7,11,12,20,-1
SAS,SAS @ DET,06/16/2005,L,240,71,26,70,37.1,5,15,33.3,14,24,58.3,12,32,44,15,1,9,18,21,-31
DET,DET vs. SAS,06/16/2005,W,240,102,41,90,45.6,2,9,22.2,18,23,78.3,13,34,47,23,13,6,4,22,31
SAS,SAS @ DET,06/14/2005,L,240,79,29,67,43.3,8,17,47.1,13,20,65.0,10,27,37,16,7,3,18,21,-17
DET,DET vs. SAS,06/14/2005,W,240,96,40,85,47.1,3,14,21.4,13,17,76.5,17,27,44,22,12,10,12,18,17
SAS,SAS vs. DET,06/12/2005,W,240,97,29,62,46.8,11,24,45.8,28,34,82.4,9,27,36,23,11,7,16,19,21
DET,DET @ SAS,06/12/2005,L,240,76,33,82,40.2,0,6,0.0,10,16,62.5,18,27,45,17,5,2,14,25,-21
DET,DET @ SAS,06/09/2005,L,240,69,29,77,37.7,1,6,16.7,10,14,71.4,11,24,35,15,12,10,13,19,-15
SAS,SAS vs. DET,06/09/2005,W,240,84,34,79,43.0,4,13,30.8,12,15,80.0,15,34,49,12,3,8,16,17,15
DET,DET @ MIA,06/06/2005,W,240,88,36,79,45.6,5,13,38.5,11,15,73.3,13,28,41,21,7,0,14,23,6
MIA,MIA vs. DET,06/06/2005,L,240,82,32,69,46.4,2,11,18.2,16,24,66.7,8,27,35,12,9,6,15,22,-6
DET,DET vs. MIA,06/04/2005,W,240,91,36,86,41.9,7,17,41.2,12,19,63.2,14,32,46,24,11,5,6,17,25
MIA,MIA @ DET,06/04/2005,L,240,66,26,64,40.6,3,13,23.1,11,18,61.1,5,35,40,15,1,10,19,20,-25
DET,DET @ MIA,06/02/2005,L,240,76,30,78,38.5,3,11,27.3,13,20,65.0,13,27,40,16,6,5,15,23,-12
MIA,MIA vs. DET,06/02/2005,W,240,88,36,69,52.2,3,8,37.5,13,23,56.5,5,33,38,17,6,6,15,22,12
PHX,PHX vs. SAS,06/01/2005,L,240,95,38,87,43.7,5,17,29.4,14,17,82.4,12,31,43,16,8,6,12,14,-6
SAS,SAS @ PHX,06/01/2005,W,240,101,40,87,46.0,9,21,42.9,12,16,75.0,14,33,47,21,7,6,14,20,6
DET,DET vs. MIA,05/31/2005,W,240,106,37,77,48.1,4,8,50.0,28,39,71.8,9,30,39,27,5,5,6,28,10
MIA,MIA @ DET,05/31/2005,L,240,96,32,72,44.4,3,14,21.4,29,39,74.4,10,28,38,17,2,5,12,30,-10
SAS,SAS vs. PHX,05/30/2005,L,240,106,42,95,44.2,11,25,44.0,11,23,47.8,20,25,45,22,9,5,12,18,-5
PHX,PHX @ SAS,05/30/2005,W,240,111,44,77,57.1,9,18,50.0,14,16,87.5,7,30,37,23,5,6,14,21,5
DET,DET vs. MIA,05/29/2005,L,240,104,36,82,43.9,4,13,30.8,28,43,65.1,12,26,38,22,4,1,9,33,-9
MIA,MIA @ DET,05/29/2005,W,240,113,34,65,52.3,7,14,50.0,38,54,70.4,5,34,39,22,3,3,9,29,9
PHX,PHX @ SAS,05/28/2005,L,240,92,38,86,44.2,5,13,38.5,11,15,73.3,12,23,35,10,8,3,12,20,-10
SAS,SAS vs. PHX,05/28/2005,W,240,102,35,76,46.1,6,20,30.0,26,30,86.7,16,33,49,19,9,4,15,16,10
DET,DET @ MIA,05/25/2005,L,240,86,31,81,38.3,9,23,39.1,15,23,65.2,10,31,41,17,9,5,15,26,-6
MIA,MIA vs. DET,05/25/2005,W,240,92,36,78,46.2,3,11,27.3,17,23,73.9,9,37,46,14,6,9,17,23,6
PHX,PHX vs. SAS,05/24/2005,L,240,108,44,79,55.7,6,12,50.0,14,17,82.4,9,25,34,20,5,9,17,19,-3
SAS,SAS @ PHX,05/24/2005,W,240,111,44,86,51.2,8,18,44.4,15,21,71.4,12,22,34,21,8,4,12,16,3
DET,DET @ MIA,05/23/2005,W,240,90,37,81,45.7,6,11,54.5,10,12,83.3,9,32,41,20,3,6,9,12,9
MIA,MIA vs. DET,05/23/2005,L,240,81,36,77,46.8,4,11,36.4,5,10,50.0,7,27,34,17,6,9,10,12,-9
SAS,SAS @ PHX,05/22/2005,W,240,121,45,87,51.7,10,23,43.5,21,31,67.7,13,32,45,18,9,4,11,23,7
PHX,PHX vs. SAS,05/22/2005,L,240,114,42,86,48.8,6,15,40.0,24,29,82.8,13,28,41,19,5,3,12,22,-7
PHX,PHX @ DAL,05/20/2005,W,265,130,48,97,49.5,13,27,48.1,21,30,70.0,15,40,55,18,4,6,15,31,4
DAL,DAL vs. PHX,05/20/2005,L,265,126,42,97,43.3,7,20,35.0,35,43,81.4,11,36,47,13,8,5,9,26,-4
SAS,SAS @ SEA,05/19/2005,W,240,98,33,72,45.8,6,17,35.3,26,34,76.5,11,20,31,21,4,8,15,22,2
SEA,SEA vs. SAS,05/19/2005,L,240,96,36,75,48.0,4,11,36.4,20,26,76.9,11,27,38,13,6,2,14,28,-2
DET,DET @ IND,05/19/2005,W,240,88,31,71,43.7,4,13,30.8,22,24,91.7,11,29,40,17,7,3,10,15,9
IND,IND vs. DET,05/19/2005,L,240,79,36,75,48.0,5,19,26.3,2,7,28.6,8,28,36,27,3,7,11,21,-9
PHX,PHX vs. DAL,05/18/2005,W,240,114,43,96,44.8,5,19,26.3,23,28,82.1,20,36,56,19,5,5,13,18,6
DAL,DAL @ PHX,05/18/2005,L,240,108,41,94,43.6,8,22,36.4,18,24,75.0,13,29,42,19,9,7,8,21,-6
SAS,SAS vs. SEA,05/17/2005,W,240,103,36,78,46.2,6,17,35.3,25,34,73.5,15,27,42,15,3,3,9,28,13
SEA,SEA @ SAS,05/17/2005,L,240,90,34,74,45.9,3,13,23.1,19,26,73.1,13,26,39,12,4,4,13,31,-13
DET,DET vs. IND,05/17/2005,W,240,86,36,84,42.9,5,15,33.3,9,14,64.3,22,30,52,23,9,8,12,21,19
IND,IND @ DET,05/17/2005,L,240,67,24,65,36.9,3,15,20.0,16,19,84.2,11,23,34,14,5,3,14,20,-19
SEA,SEA vs. SAS,05/15/2005,W,240,101,39,78,50.0,6,13,46.2,17,27,63.0,9,23,32,16,11,9,14,25,12
SAS,SAS @ SEA,05/15/2005,L,240,89,30,72,41.7,5,16,31.3,24,30,80.0,15,25,40,16,6,5,23,25,-12
DAL,DAL vs. PHX,05/15/2005,W,240,119,46,83,55.4,6,14,42.9,21,29,72.4,16,27,43,21,8,4,15,23,10
PHX,PHX @ DAL,05/15/2005,L,240,109,42,82,51.2,8,21,38.1,17,23,73.9,13,24,37,16,7,3,15,25,-10
IND,IND vs. DET,05/15/2005,L,240,76,26,70,37.1,3,19,15.8,21,28,75.0,11,30,41,14,8,5,19,22,-13
DET,DET @ IND,05/15/2005,W,240,89,34,84,40.5,3,13,23.1,18,20,90.0,15,32,47,22,7,8,15,20,13
MIA,MIA @ WAS,05/14/2005,W,240,99,32,76,42.1,9,24,37.5,26,31,83.9,10,37,47,18,7,5,19,32,4
WAS,WAS vs. MIA,05/14/2005,L,240,95,30,82,36.6,6,20,30.0,29,39,74.4,13,28,41,12,8,8,10,25,-4
IND,IND vs. DET,05/13/2005,W,240,79,26,72,36.1,4,17,23.5,23,27,85.2,10,30,40,15,8,3,14,25,5
DET,DET @ IND,05/13/2005,L,240,74,24,65,36.9,3,16,18.8,23,28,82.1,9,33,42,17,7,7,18,23,-5
DAL,DAL vs. PHX,05/13/2005,L,240,102,39,100,39.0,1,18,5.6,23,27,85.2,24,28,52,18,11,8,14,17,-17
PHX,PHX @ DAL,05/13/2005,W,240,119,46,89,51.7,11,22,50.0,16,22,72.7,12,32,44,25,8,9,14,21,17
MIA,MIA @ WAS,05/12/2005,W,240,102,40,78,51.3,6,15,40.0,16,19,84.2,14,29,43,22,3,7,15,20,7
WAS,WAS vs. MIA,05/12/2005,L,240,95,38,83,45.8,8,24,33.3,11,16,68.8,10,19,29,23,4,3,12,17,-7
SEA,SEA vs. SAS,05/12/2005,W,240,92,31,76,40.8,2,16,12.5,28,33,84.8,14,34,48,15,6,3,11,31,1
SAS,SAS @ SEA,05/12/2005,L,240,91,32,73,43.8,8,19,42.1,19,34,55.9,7,30,37,19,5,6,12,25,-1
PHX,PHX vs. DAL,05/11/2005,L,240,106,37,89,41.6,7,18,38.9,25,34,73.5,16,34,50,21,7,10,13,22,-2
DAL,DAL @ PHX,05/11/2005,W,240,108,43,87,49.4,6,13,46.2,16,24,66.7,12,34,46,18,5,4,15,26,2
DET,DET vs. IND,05/11/2005,L,240,83,32,77,41.6,6,17,35.3,13,19,68.4,10,33,43,23,2,8,15,16,-9
IND,IND @ DET,05/11/2005,W,240,92,37,95,38.9,7,24,29.2,11,14,78.6,19,33,52,21,11,8,10,17,9
MIA,MIA vs. WAS,05/10/2005,W,240,108,38,66,57.6,10,23,43.5,22,40,55.0,7,33,40,21,7,6,20,25,6
WAS,WAS @ MIA,05/10/2005,L,240,102,37,90,41.1,7,22,31.8,21,31,67.7,18,24,42,13,11,3,13,31,-6
SAS,SAS vs. SEA,05/10/2005,W,240,108,38,72,52.8,5,13,38.5,27,35,77.1,11,26,37,20,7,7,11,26,17
SEA,SEA @ SAS,05/10/2005,L,240,91,33,78,42.3,4,15,26.7,21,24,87.5,17,24,41,12,7,4,17,30,-17
PHX,PHX vs. DAL,05/09/2005,W,240,127,46,88,52.3,12,22,54.5,23,28,82.1,10,33,43,25,10,3,12,18,25
DAL,DAL @ PHX,05/09/2005,L,240,102,44,98,44.9,5,18,27.8,9,12,75.0,17,29,46,18,4,4,17,22,-25
IND,IND @ DET,05/09/2005,L,240,81,30,76,39.5,3,12,25.0,18,24,75.0,10,32,42,11,7,5,18,29,-15
DET,DET vs. IND,05/09/2005,W,240,96,34,73,46.6,4,12,33.3,24,40,60.0,11,34,45,20,10,7,10,22,15
MIA,MIA vs. WAS,05/08/2005,W,240,105,43,82,52.4,7,20,35.0,12,23,52.2,9,36,45,23,8,6,16,28,19
WAS,WAS @ MIA,05/08/2005,L,240,86,28,76,36.8,4,16,25.0,26,36,72.2,11,30,41,9,11,5,17,23,-19
SAS,SAS vs. SEA,05/08/2005,W,240,103,35,69,50.7,4,13,30.8,29,35,82.9,11,35,46,17,4,7,19,19,22
SEA,SEA @ SAS,05/08/2005,L,240,81,33,77,42.9,2,10,20.0,13,18,72.2,10,21,31,10,9,4,14,27,-22
BOS,BOS vs. IND,05/07/2005,L,240,70,27,73,37.0,4,18,22.2,12,16,75.0,10,23,33,14,8,9,14,18,-27
IND,IND @ BOS,05/07/2005,W,240,97,32,69,46.4,10,17,58.8,23,30,76.7,10,30,40,23,11,9,13,17,27
HOU,HOU @ DAL,05/07/2005,L,240,76,29,82,35.4,3,18,16.7,15,18,83.3,13,20,33,16,5,9,13,25,-40
DAL,DAL vs. HOU,05/07/2005,W,240,116,41,80,51.3,8,16,50.0,26,28,92.9,16,36,52,21,7,10,14,19,40
CHI,CHI @ WAS,05/06/2005,L,240,91,31,77,40.3,9,20,45.0,20,26,76.9,13,35,48,19,4,5,16,25,-3
WAS,WAS vs. CHI,05/06/2005,W,240,94,34,85,40.0,7,17,41.2,19,29,65.5,10,30,40,17,7,5,11,21,3
HOU,HOU vs. DAL,05/05/2005,W,240,101,36,74,48.6,9,17,52.9,20,25,80.0,9,34,43,21,5,7,16,17,18
DAL,DAL @ HOU,05/05/2005,L,240,83,31,86,36.0,7,26,26.9,14,17,82.4,14,29,43,14,9,6,12,23,-18
BOS,BOS @ IND,05/05/2005,W,265,92,37,90,41.1,3,16,18.8,15,19,78.9,17,37,54,16,10,7,17,27,3
IND,IND vs. BOS,05/05/2005,L,265,89,27,75,36.0,6,25,24.0,29,37,78.4,11,33,44,15,6,6,16,19,-3
SAS,SAS vs. DEN,05/04/2005,W,240,99,33,73,45.2,9,24,37.5,24,33,72.7,12,33,45,23,5,9,17,22,10
DEN,DEN @ SAS,05/04/2005,L,240,89,36,82,43.9,1,10,10.0,16,20,80.0,10,25,35,17,6,4,13,25,-10
WAS,WAS @ CHI,05/04/2005,W,240,112,46,82,56.1,2,12,16.7,18,30,60.0,11,38,49,24,9,8,16,26,2
CHI,CHI vs. WAS,05/04/2005,L,240,110,40,85,47.1,13,23,56.5,17,30,56.7,13,23,36,24,5,5,15,27,-2
PHI,PHI @ DET,05/03/2005,L,240,78,32,72,44.4,3,16,18.8,11,20,55.0,8,25,33,15,3,4,14,24,-10
DET,DET vs. PHI,05/03/2005,W,240,88,32,80,40.0,2,15,13.3,22,27,81.5,14,32,46,20,5,5,14,18,10
IND,IND @ BOS,05/03/2005,W,240,90,32,70,45.7,6,15,40.0,20,26,76.9,9,25,34,21,16,3,18,24,5
BOS,BOS vs. IND,05/03/2005,L,240,85,29,64,45.3,4,14,28.6,23,30,76.7,7,29,36,15,8,6,22,21,-5
SEA,SEA vs. SAC,05/03/2005,W,240,122,42,75,56.0,8,17,47.1,30,38,78.9,12,31,43,25,4,3,14,24,4
SAC,SAC @ SEA,05/03/2005,L,240,118,44,86,51.2,9,26,34.6,21,27,77.8,7,18,25,31,8,1,7,31,-4
SAS,SAS @ DEN,05/02/2005,W,265,126,40,83,48.2,7,19,36.8,39,45,86.7,8,32,40,19,4,5,13,36,11
DEN,DEN vs. SAS,05/02/2005,L,265,115,38,83,45.8,1,8,12.5,38,46,82.6,9,31,40,19,4,6,11,37,-11
WAS,WAS vs. CHI,05/02/2005,W,240,106,34,76,44.7,5,13,38.5,33,39,84.6,14,35,49,18,8,6,18,31,7
CHI,CHI @ WAS,05/02/2005,L,240,99,29,86,33.7,10,33,30.3,31,42,73.8,16,27,43,18,9,1,15,33,-7
HOU,HOU @ DAL,05/02/2005,L,240,100,33,67,49.3,5,13,38.5,29,40,72.5,10,29,39,15,8,6,14,25,-3
DAL,DAL vs. HOU,05/02/2005,W,240,103,37,79,46.8,6,15,40.0,23,34,67.6,13,29,42,17,8,3,11,26,3
MIA,MIA @ NJN,05/01/2005,W,240,110,39,71,54.9,9,18,50.0,23,34,67.6,5,34,39,24,5,3,20,28,13
NJN,NJN vs. MIA,05/01/2005,L,240,97,30,76,39.5,6,19,31.6,31,37,83.8,9,28,37,19,7,3,15,30,-13
SAC,SAC vs. SEA,05/01/2005,L,240,102,37,88,42.0,6,21,28.6,22,30,73.3,16,23,39,15,10,3,13,26,-13
SEA,SEA @ SAC,05/01/2005,W,240,115,39,73,53.4,9,25,36.0,28,30,93.3,7,30,37,23,6,7,16,24,13
PHX,PHX @ MEM,05/01/2005,W,240,123,38,63,60.3,11,24,45.8,36,49,73.5,5,32,37,26,6,10,20,17,8
MEM,MEM vs. PHX,05/01/2005,L,240,115,45,89,50.6,13,24,54.2,12,16,75.0,10,18,28,26,9,2,11,32,-8
DET,DET @ PHI,05/01/2005,W,265,97,34,79,43.0,9,20,45.0,20,24,83.3,12,27,39,20,9,5,20,20,5
PHI,PHI vs. DET,05/01/2005,L,265,92,36,84,42.9,8,23,34.8,12,16,75.0,11,30,41,20,9,4,16,23,-5
CHI,CHI @ WAS,04/30/2005,L,240,99,33,84,39.3,7,26,26.9,26,34,76.5,19,25,44,19,5,4,19,38,-18
WAS,WAS vs. CHI,04/30/2005,W,240,117,37,86,43.0,4,20,20.0,39,49,79.6,21,28,49,21,9,4,10,29,18
DEN,DEN vs. SAS,04/30/2005,L,240,78,29,71,40.8,3,10,30.0,17,30,56.7,11,28,39,17,7,8,15,26,-8
SAS,SAS @ DEN,04/30/2005,W,240,86,31,81,38.3,6,18,33.3,18,28,64.3,15,32,47,19,4,7,15,22,8
HOU,HOU vs. DAL,04/30/2005,L,240,93,34,72,47.2,5,17,29.4,20,26,76.9,11,26,37,15,9,8,18,28,-4
DAL,DAL @ HOU,04/30/2005,W,240,97,33,72,45.8,9,20,45.0,22,27,81.5,10,22,32,17,8,2,17,22,4
BOS,BOS @ IND,04/30/2005,W,240,110,42,74,56.8,7,13,53.8,19,23,82.6,3,34,37,17,7,9,13,30,31
IND,IND vs. BOS,04/30/2005,L,240,79,21,78,26.9,6,21,28.6,31,39,79.5,13,27,40,15,8,7,15,25,-31
PHI,PHI vs. DET,04/29/2005,W,240,115,43,78,55.1,11,20,55.0,18,25,72.0,10,20,30,24,10,4,7,23,11
DET,DET @ PHI,04/29/2005,L,240,104,37,73,50.7,9,22,40.9,21,25,84.0,11,25,36,27,3,2,15,20,-11
SAC,SAC vs. SEA,04/29/2005,W,240,116,39,79,49.4,5,16,31.3,33,36,91.7,9,21,30,14,6,1,10,28,12
