Date,Team 1,Team 2
"August 10, 2020",Oklahoma City Thunder,Phoenix Suns
"August 10, 2020",Dallas Mavericks,Utah Jazz
"August 10, 2020",Toronto Raptors,Milwaukee Bucks
"August 10, 2020",Indiana Pacers,Miami Heat
"August 10, 2020",Denver Nuggets,Los Angeles Lakers
"August 11, 2020",Brooklyn Nets,Orlando Magic
"August 11, 2020",Houston Rockets,San Antonio Spurs
"August 11, 2020",Phoenix Suns,Philadelphia 76ers
"August 11, 2020",Boston Celtics,Memphis Grizzlies
"August 11, 2020",Portland Trail Blazers,Dallas Mavericks
"August 11, 2020",New Orleans Pelicans,Sacramento Kings
"August 11, 2020",Milwaukee Bucks,Washington Wizards
"August 12, 2020",Indiana Pacers,Houston Rockets
"August 12, 2020",Toronto Raptors,Philadelphia 76ers
"August 12, 2020",Miami Heat,Oklahoma City Thunder
"August 12, 2020",LA Clippers,Denver Nuggets
"August 13, 2020",Washington Wizards,Boston Celtics
"August 13, 2020",Portland Trail Blazers,Brooklyn Nets
"August 13, 2020",Sacramento Kings,Los Angeles Lakers
"August 13, 2020",Milwaukee Bucks,Memphis Grizzlies
"August 13, 2020",New Orleans Pelicans,Orlando Magic
"August 13, 2020",Dallas Mavericks,Phoenix Suns
"August 13, 2020",San Antonio Spurs,Utah Jazz
"August 14, 2020",Philadelphia 76ers,Houston Rockets
"August 14, 2020",Miami Heat,Indiana Pacers
"August 14, 2020",Oklahoma City Thunder,LA Clippers
"August 14, 2020",Denver Nuggets,Toronto Raptors
